"","x"
"car",378
"think",282
"vehicl",215
"peopl",214
"now",210
"use",194
"fli",185
"technolog",172
"actual",144
"citi",137
"autonom",136
"system",134
"work",129
"don",127
"year",127
"drive",124
"time",122
"realli",119
"need",116
"compani",111
"transport",101
"question",98
"differ",91
"futur",89
"drone",86
"cost",85
"first",85
"air",82
"world",82
"design",78
"talk",77
"land",75
"abl",74
"mani",74
"build",71
"electr",71
"someth",71
"mean",70
"good",69
"chang",66
"control",66
"develop",65
"engin",65
"today",64
"move",63
"oper",62
"point",62
"space",61
"road",60
"start",60
"mobil",59
"happen",57
"aircraft",56
"problem",56
"speed",56
"street",56
"call",54
"regul",54
"everi",53
"level",53
"power",53
"share",53
"tri",53
"uber",53
"let",52
"matzko",52
"paul",52
"model",51
"public",51
"alreadi",50
"travel",50
"mile",49
"high",48
"littl",48
"thank",48
"florian",47
"hour",47
"mayb",47
"person",47
"servic",47
"allow",46
"number",46
"baur",45
"driver",45
"place",45
"ride",45
"human",44
"environ",42
"exampl",42
"connect",41
"cour",41
"experi",41
"real",41
"robot",41
"self",41
"big",40
"doesn",39
"probabl",39
"whole",39
"basic",38
"creat",38
"show",38
"wheel",38
"bit",37
"day",37
"hand",37
"last",37
"live",37
"product",37
"state",37
"becom",36
"data",36
"hyperloop",36
"import",36
"part",36
"term",36
"threat",36
"focus",35
"fuel",35
"give",35
"helicopt",35
"idea",35
"interest",35
"small",35
"sort",35
"test",35
"urban",35
"across",34
"project",34
"stop",34
"traffic",34
"video",34
"area",33
"becaus",33
"better",33
"built",33
"privat",33
"set",33
"thought",33
"anoth",32
"ground",32
"larg",32
"might",32
"taxi",32
"transit",32
"without",32
"buy",31
"everyth",31
"passeng",31
"per",31
"plan",31
"price",31
"side",31
"uav",31
"bring",30
"concept",30
"end",30
"full",30
"guy",30
"market",30
"help",29
"keep",29
"pilot",29
"possibl",29
"second",29
"yeah",29
"china",28
"fact",28
"opportun",28
"research",28
"watch",28
"autom",27
"case",27
"issu",27
"local",27
"reason",27
"ask",26
"congest",26
"current",26
"hope",26
"long",26
"play",26
"sector",26
"tell",26
"type",26
"vision",26
"wing",26
"base",25
"challeng",25
"feel",25
"four",25
"front",25
"huge",25
"impact",25
"made",25
"park",25
"particular",25
"requir",25
"scienc",25
"solut",25
"unit",25
"within",25
"didn",24
"direct",24
"enough",24
"hard",24
"imagin",24
"industri",24
"infrastructur",24
"innov",24
"militari",24
"motor",24
"never",24
"open",24
"pressur",24
"access",23
"alway",23
"answer",23
"best",23
"certain",23
"complet",23
"done",23
"effici",23
"exact",23
"govern",23
"may",23
"pedestrian",23
"screen",23
"turn",23
"away",22
"batteri",22
"flight",22
"implement",22
"increa",22
"interact",22
"polic",22
"quick",22
"safeti",22
"surfac",22
"takeoff",22
"won",22
"airplan",21
"coupl",21
"deci",21
"expen",21
"field",21
"inform",21
"lane",21
"line",21
"order",21
"plane",21
"pod",21
"scale",21
"sen",21
"somebodi",21
"tech",21
"understand",21
"water",21
"week",21
"bad",20
"demonstr",20
"exist",20
"far",20
"find",20
"hydrogen",20
"main",20
"minut",20
"music",20
"panel",20
"potenti",20
"produc",20
"provid",20
"push",20
"singl",20
"solv",20
"station",20
"though",20
"tube",20
